Date,Close,High,Low,Open,Volume,Stock_Symbol,Sentiment_Score,Target
08-02-2021,733.0891724,744.6906961,722.9813509,722.9813509,15662890,AXISBANK,0.186345215,1
09-02-2021,739.4127197,746.8815351,723.1805065,732.6907859,22307807,AXISBANK,-0.049174845,0
10-02-2021,731.7446899,743.2964936,723.0808524,738.4666234,15140744,AXISBANK,-0.02340549,1
11-02-2021,737.022644,741.0558528,727.9605061,727.9605061,11897710,AXISBANK,-0.008920935,1
12-02-2021,747.2798462,751.5619545,731.4957143,732.4417764,15668442,AXISBANK,-0.879263963,1
15-02-2021,790.6984253,795.6776345,750.7651916,756.7402427,20648115,AXISBANK,-0.489388316,0
16-02-2021,771.8273315,795.6777596,763.8108156,795.6777596,23968943,AXISBANK,0.413301261,1
17-02-2021,774.5161133,781.7359678,761.1220263,770.7817058,16956357,AXISBANK,0.299034403,0
18-02-2021,773.7692261,778.748436,760.8232802,771.7775421,19685663,AXISBANK,-0.126026663,0
19-02-2021,746.532959,773.9683932,738.267422,769.6862848,15634787,AXISBANK,-0.206075205,0
22-02-2021,716.4585571,746.7321182,712.027048,746.5329984,18123202,AXISBANK,0.139182643,0
23-02-2021,712.9730835,731.8940813,709.6369764,729.3048556,16804763,AXISBANK,-0.023691997,1
24-02-2021,746.2839966,751.7611274,714.0684724,718.9979023,11207286,AXISBANK,0.488542508,1
25-02-2021,767.4456177,780.2421623,758.9809612,761.8190864,26635119,AXISBANK,-0.332344149,0
26-02-2021,721.7862549,755.5453223,715.6618632,742.898117,31306177,AXISBANK,0.629321585,1
01-03-2021,725.5206909,740.4085413,719.2468984,734.9314102,14301187,AXISBANK,0.375829059,1
02-03-2021,728.2094116,737.4209495,718.9978738,727.4127502,14503453,AXISBANK,-0.202839092,1
03-03-2021,750.8150635,757.6365566,732.0434059,737.4209769,13603791,AXISBANK,-0.268433826,0
04-03-2021,733.7363281,748.3254368,728.0600169,728.0600169,16896947,AXISBANK,-0.15274616,0
05-03-2021,727.7115479,741.0060144,717.5041673,728.9563504,16358252,AXISBANK,0.083664292,1
08-03-2021,740.2092896,749.3710474,728.956288,731.9438137,13898556,AXISBANK,0.161394376,1
09-03-2021,742.3503418,755.5452467,736.9229914,755.5452467,18951683,AXISBANK,0.209317624,1
10-03-2021,757.586792,762.516222,746.0350492,747.3794116,13377990,AXISBANK,0.081627709,0
12-03-2021,747.4789429,773.3708336,741.9022523,769.3874658,16343307,AXISBANK,-0.356072166,0
15-03-2021,741.3048096,750.8648685,713.6701941,750.8648685,22466579,AXISBANK,-0.542860172,0
16-03-2021,734.6824341,748.8731826,732.8899306,747.8773406,11358574,AXISBANK,0.255957882,0
17-03-2021,724.8734131,738.9147609,721.6867065,735.9272349,12380976,AXISBANK,0.300695687,0
18-03-2021,715.7614136,740.0101412,704.309231,732.9396875,12261544,AXISBANK,0.108270249,1
19-03-2021,723.2302246,726.3173104,700.57482,706.0519508,20377672,AXISBANK,-5.24E-05,0
22-03-2021,713.2220459,726.9646532,706.3507119,716.0103913,14802230,AXISBANK,0.336148478,1
23-03-2021,727.5123291,736.4251268,711.1307168,715.0145247,15949688,AXISBANK,0.382064183,0
24-03-2021,703.4628296,721.9854669,700.3756828,720.2427434,14379147,AXISBANK,0.045977421,0
25-03-2021,691.711853,707.9441268,677.1725836,706.5499237,21179280,AXISBANK,-0.37889011,1
26-03-2021,695.296936,704.060334,690.2679458,704.060334,13143312,AXISBANK,-0.020055329,0
30-03-2021,692.4586792,710.3340545,688.126791,702.0685784,25965218,AXISBANK,-0.178019998,1
31-03-2021,694.5499878,700.6245994,689.2221968,693.1060048,14924620,AXISBANK,-0.025231409,1
01-04-2021,710.0352783,714.0186459,692.6578249,703.3631254,13090326,AXISBANK,0.292360836,0
05-04-2021,682.4007568,705.5043043,674.6332011,704.2595017,16239521,AXISBANK,-0.000106492,0
06-04-2021,675.0813599,690.6164718,672.6913146,687.2305844,12062011,AXISBANK,0.345445584,1
07-04-2021,685.3882446,689.0230922,665.6208056,677.6704693,14433515,AXISBANK,-0.450446055,0
08-04-2021,678.7659302,692.6081593,676.5252855,688.624791,9026398,AXISBANK,-0.280831903,0
09-04-2021,665.4216919,683.9443303,664.2266692,676.4755147,12509114,AXISBANK,-0.119504618,0
12-04-2021,632.9571533,652.2765125,624.044416,648.2931445,14649541,AXISBANK,0.281906342,1
13-04-2021,658.2515869,662.0855544,627.3804837,632.9571748,12737650,AXISBANK,-0.358108301,1
15-04-2021,666.0689697,668.558575,649.587795,663.6789851,15195951,AXISBANK,0.214979717,1
16-04-2021,666.4174805,672.4423124,659.5959263,665.8697795,12242522,AXISBANK,0.110709306,0
19-04-2021,645.4550781,652.5753126,628.3763619,647.2973617,17292072,AXISBANK,-0.048098109,1
20-04-2021,649.039978,659.2473578,640.3263611,653.2723062,12296248,AXISBANK,0.377335614,1
22-04-2021,655.9611206,658.201765,631.7621728,638.3347055,19385102,AXISBANK,0.234840971,1
23-04-2021,668.5585327,674.6829856,648.1936115,653.2723816,19167768,AXISBANK,-0.239450447,1
26-04-2021,697.5375366,700.873583,681.6538447,691.1143436,21646184,AXISBANK,-0.175322231,0
27-04-2021,696.6412354,700.9731844,681.2554648,688.2263586,46559967,AXISBANK,0.456849959,1
28-04-2021,705.2055054,709.5373936,685.2886663,705.0561048,54060587,AXISBANK,0.428342465,1
29-04-2021,716.4087524,723.8775674,704.0602874,709.0394974,25939327,AXISBANK,0.099471824,0
30-04-2021,711.9274292,726.8152176,702.0685697,702.0685697,23011654,AXISBANK,-0.288685197,0
03-05-2021,699.8279419,705.0561122,689.2222006,703.0644283,13752878,AXISBANK,0.045922009,0
04-05-2021,697.4379272,715.6618847,695.1972827,701.0727749,11980155,AXISBANK,0.459240324,1
05-05-2021,714.2178345,716.0601177,697.0893414,706.0519186,11155033,AXISBANK,0.113536398,0
06-05-2021,712.7739258,719.8443798,707.2967947,715.0145703,9484934,AXISBANK,0.284814132,1
07-05-2021,713.7697754,723.8775963,711.0312098,718.002104,7131970,AXISBANK,-0.2696795,0
10-05-2021,712.276001,721.9854606,711.0311985,720.4916976,7980462,AXISBANK,0.033682025,0
11-05-2021,704.4088135,710.7324466,700.0769251,701.8694285,12736700,AXISBANK,-0.229042172,0
12-05-2021,688.4255981,702.8155279,686.1849535,701.0728044,10856584,AXISBANK,0.080912335,0
14-05-2021,682.1517334,695.6951596,678.5667267,692.1101529,9377968,AXISBANK,0.200615107,1
17-05-2021,706.3009644,707.3465863,681.5543141,688.6247682,12099197,AXISBANK,-0.062811426,1
18-05-2021,708.690979,722.9812873,705.5540524,717.0062353,19519055,AXISBANK,0.075138261,1
19-05-2021,713.819519,720.690853,699.2802504,701.0727539,20244016,AXISBANK,-0.143387102,0
20-05-2021,702.9649048,711.4295619,701.6204816,705.6536296,18840413,AXISBANK,-0.064926073,1
21-05-2021,727.8609009,730.3505057,704.0602541,704.0602541,15883692,AXISBANK,0.418096643,1
24-05-2021,738.0682983,744.3918705,723.7281497,727.3629972,15716900,AXISBANK,-0.462769666,0
25-05-2021,728.5081787,741.9022653,722.8318673,741.3047845,11344261,AXISBANK,0.414403113,1
26-05-2021,732.043457,738.3173105,726.4667659,734.9314233,9081086,AXISBANK,0.183875622,1
27-05-2021,747.2300415,750.7154886,727.9605226,734.1347553,23040846,AXISBANK,0.320026487,0
28-05-2021,736.7737427,756.5412445,735.4293802,749.4707293,17149692,AXISBANK,0.30793454,1
31-05-2021,747.5786133,749.8690378,730.9480395,734.8318476,9275086,AXISBANK,0.001390193,0
01-06-2021,742.0516968,750.8648742,738.0683287,750.4167332,6660243,AXISBANK,0.433005289,0
02-06-2021,733.9355469,742.2010232,731.1472015,741.7031022,9973043,AXISBANK,0.252032627,1
03-06-2021,747.5288696,749.1221926,735.9272853,739.9106535,8170508,AXISBANK,0.40375678,0
04-06-2021,738.9645386,756.7403546,737.0226345,747.8773366,10336011,AXISBANK,0.097306776,1
07-06-2021,747.9769287,750.815115,738.4168695,740.0101924,6986728,AXISBANK,0.088577737,0
08-06-2021,743.2466431,747.9768925,736.4251498,747.8773326,6426815,AXISBANK,-0.069079134,0
09-06-2021,733.6866455,748.1263555,727.1141122,742.8981847,8004726,AXISBANK,-0.034911093,1
10-06-2021,741.1553345,742.2507363,729.8525532,736.3753055,7795125,AXISBANK,0.161341046,0
11-06-2021,735.3795166,743.1470718,733.9355336,743.1470718,4840759,AXISBANK,-0.239976905,0
14-06-2021,733.1886597,738.3172702,721.9854374,732.8401393,5190670,AXISBANK,0.382110641,1
15-06-2021,747.777771,748.8731729,728.9563332,732.9397011,9686490,AXISBANK,-0.398063488,0
